TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;VL_PATRIM_LIQ;NR_COTST
F.I.I.;08.693.497/0001-82;FUNDO DE INVESTIMENTO IMOBILIARIO VEREDA - FII;2019-02-28;142116853.77;
F.I.I.;08.696.175/0001-97;RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIARIO - FII;2019-02-28;178379239.79;
F.I.I.;08.706.065/0001-69;FII HOTEL MAXINVEST;2019-02-28;155517088.24;
F.I.I.;08.924.783/0001-01;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII BTG PACTUAL CORPORATE OFFICE FUND;2019-02-28;2072833490.48;
F.I.I.;09.006.914/0001-34;RB CAPITAL RENDA II FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;143794902.17;
F.I.I.;09.072.017/0001-29;CSHG REAL ESTATE - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;1118857150.13;
F.I.I.;09.150.967/0001-24;FII PATRIMONIAL IV;2019-02-28;15426661.35;
F.I.I.;09.276.964/0001-31;FII PROPERTY INVEST;2019-02-28;91494262.44;
F.I.I.;09.326.861/0001-39;SHOPPING WEST PLAZA FUNDO DE INVESTIMENTO IMOBILIARIO;2019-02-28;78752185.89;
F.I.I.;09.350.920/0001-04;FUNDO DE INVESTIMENTO IMOBILIÁRIO SÃO FERNANDO;2019-02-28;105143562.02;
F.I.I.;09.552.812/0001-14;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII BTG PACTUAL FUNDO DE CRI;2019-02-28;148897985.25;
F.I.I.;10.347.505/0001-80;FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM SECURITIES;2019-02-28;193566854.85;
F.I.I.;10.347.985/0001-80;FII BB VOTORANTIM CIDADE JARDIM CONTINENTAL TOWER;2019-02-28;158413332.20;
F.I.I.;10.348.185/0001-83;FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM  SECURITIES II;2019-02-28;1058232296.60;
F.I.I.;10.375.382/0001-91;FII FLORIPA SHOPPING;2019-02-28;74309867.00;
F.I.I.;10.410.463/0001-85;ITACOATIARA FUNDO DE INVESTIMENTO IMOBILÁRIO;2019-02-28;59018830.51;
F.I.I.;10.427.246/0001-06;FII PRIME PORTFOLIO;2019-02-28;602426983.62;
F.I.I.;10.456.799/0001-89;FII PHORBIS;2019-02-28;439546483.99;
F.I.I.;10.456.810/0001-00;MULTIGESTÃO RENDA COMERCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;57982551.03;
F.I.I.;10.522.648/0001-81;DOVEL FII;2019-02-28;60770787.83;
F.I.I.;10.841.506/0001-87;DAJ FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-02-28;0.00;
F.I.I.;10.869.155/0001-12;FII PARQUE DOM PEDRO SHOPPING CENTER;2019-02-28;701482486.59;
F.I.I.;10.991.914/0001-15;FUNDO DE INVESTIMENTO IMOBILIARIO CAIXA CEDAE;2019-02-28;144309670.29;
F.I.I.;11.026.627/0001-38;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII BTG PACTUAL FUNDO DE FUNDOS;2019-02-28;719002023.57;
F.I.I.;11.044.355/0001-07;STARX FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;264397334.64;
F.I.I.;11.160.521/0001-22;CSHG RECEBÍVEIS IMOBILIÁRIOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;272240012.96;
F.I.I.;11.179.118/0001-45;FII ANHANGUERA EDUCACIONAL;2019-02-28;121425051.60;
F.I.I.;11.233.841/0001-65;REAL MINAS FUNDO DE INVESTIMENTO IMOBILIARIO - FII;2019-02-28;159842194.44;
F.I.I.;11.260.134/0001-68;CSHG JHSF PRIME OFFICES - FUNDO DE INVESTIMENTO IMOBILIÁRIO FII;2019-02-28;247117467.45;
F.I.I.;11.268.335/0001-01;JPP FII - FII;2019-02-28;142192640.66;
F.I.I.;11.274.415/0001-70;FII MAX RETAIL;2019-02-28;105321226.97;
F.I.I.;11.281.322/0001-72;FII - PRESIDENTE VARGAS;2019-02-28;79359893.96;
F.I.I.;11.326.746/0001-06;TAG GR IV - FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-02-28;317934823.80;
F.I.I.;11.602.654/0001-01;FII CAMPUS FARIA LIMA;2019-02-28;300265915.99;
F.I.I.;11.664.201/0001-00;FATOR VERITA FUNDO DE INVESTIMENTO IMOBILIARIO;2019-02-28;227724786.70;
F.I.I.;11.701.400/0001-40;TAURUS PATRIMONIUM FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;28602717.14;
F.I.I.;11.728.688/0001-47;CSHG LOGÍSTICA - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;953905824.78;
F.I.I.;11.769.604/0001-13;GENERAL SHOPPING E OUTLETS DO BRASIL FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;630670562.56;
F.I.I.;11.839.593/0001-09;TRX REALTY LOGÍSTICA RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;184707200.50;
F.I.I.;11.945.604/0001-27;RB CAPITAL DESENVOLVIMENTO RESIDENCIAL II FUNDO DE INVESTIMENTO IMOBILIARIO - FII;2019-02-28;24146902.73;
F.I.I.;12.005.956/0001-65;KINEA RENDA IMOBILIÁRIA - FII;2019-02-28;2370496953.81;
F.I.I.;12.323.955/0001-69;SABIÁ FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;58242400.98;
F.I.I.;12.358.507/0001-09;ÊXITUS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;687259504.66;
F.I.I.;12.401.858/0001-47;ATRIUM NAÇÕES UNIDAS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;97138013.66;
F.I.I.;12.516.185/0001-70;FUNDO DE INVESTIMENTO IMOBILIARIO RM LEBLON CORPORATE;2019-02-28;56346240.91;
F.I.I.;12.659.641/0001-31;RIO BRAVO CRÉDITO IMOBILIÁRIO I FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-02-28;3119401.65;
F.I.I.;12.681.340/0001-04;BB RENDA CORPORATIVA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;161703187.42;
F.I.I.;12.804.013/0001-00;FUNDO DE INVESTIMENTO IMOBILIÁRIO SC 401;2019-02-28;202640601.71;
F.I.I.;12.809.972/0001-00;HEDGE ATRIUM SHOPPING SANTO ANDRÉ FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-02-28;184171798.88;
F.I.I.;12.811.222/0001-73;OAR - FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-02-28;103509924.38;
F.I.I.;12.887.506/0001-43;FUNDO DE INVESTIMENTO IMOBILIARIO CAIXA TRX LOGISTICA RENDA;2019-02-28;37843238.08;
F.I.I.;12.927.767/0001-40;FUNDO DE INVESTIMENTO IMOBILIÁRIO DA REGIÃO DO PORTO;2019-02-28;240867360.48;
F.I.I.;12.948.291/0001-23;FUNDO DE INVESTIMENTO IMOBILIÁRIO THE ONE;2019-02-28;101557280.68;
F.I.I.;12.969.125/0001-03;FUNDO DE INVESTIMENTO IMOBILIARIO CAIXA INCORPORACAO;2019-02-28;538938847.18;
F.I.I.;12.978.943/0001-72;RB CAPITAL ANHANGUERA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;47981475.79;
F.I.I.;12.989.974/0001-29;CAIXA FUNDO DE INVESTIMENTO IMOBILIARIO PORTO MARAVILHA;2019-02-28;2585504229.94;
F.I.I.;13.000.836/0001-38;OSASCO PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-02-28;421096494.91;
F.I.I.;13.012.312/0001-67;SALUS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;-4536080.63;
F.I.I.;13.020.465/0001-56;FUNDO DE INVESTIMENTO IMOBILIARIO CAIXA DESENVOLVIMENTO IMOBILIARIO;2019-02-28;274636848.42;
F.I.I.;13.022.993/0001-44;FII VBI FL 4440;2019-02-28;201675946.30;
F.I.I.;13.022.994/0001-99;FII ELDORADO;2019-02-28;823408685.77;
F.I.I.;13.125.823/0001-95;PSG - FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-02-28;7278710.31;
F.I.I.;13.320.290/0001-00;TERRA - FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-02-28;85850010.61;
F.I.I.;13.371.132/0001-71;JS REAL ESTATE MULTIGESTÃO - FII;2019-02-28;898227569.97;
F.I.I.;13.464.208/0001-03;CIBRASEC CRÉDITO IMOBILIÁRIO - FII;2019-02-28;5847725.61;
F.I.I.;13.500.306/0001-59;FUNDO DE INVESTIMENTO IMOBILIÁRIO MERCANTIL DO BRASIL - FII;2019-02-28;119875799.77;
F.I.I.;13.551.286/0001-45;FII CENESP;2019-02-28;277215460.27;
F.I.I.;13.555.918/0001-49;AQUILLA FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-02-28;171616960.61;
F.I.I.;13.568.181/0001-07;RB CAPITAL PATRIMONIAL V FUNDO DE INVESTIMENTO IMOBILIARIO - FII;2019-02-28;2451261.70;
F.I.I.;13.584.584/0001-31;BRAZILIAN GRAVEYARD AND DEATH CARE SERVICES FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;210981323.10;
F.I.I.;13.652.006/0001-95;RB CAPITAL GENERAL SHOPPING SULACAP  FII;2019-02-28;100016063.28;
F.I.I.;13.703.596/0001-38;TREVISO - FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-02-28;10099086.22;
F.I.I.;13.726.079/0001-84;SONDA - FUNDO DE INVESTIMENTO IMOBILIARIO - FII;2019-02-28;281057986.61;
F.I.I.;13.842.683/0001-76;VECTOR QUELUZ LAJES CORPORATIVAS FUNDO DE INVESTIMENTO IMOBILIARIO;2019-02-28;69430102.76;
F.I.I.;13.873.457/0001-52;AESAPAR FUNDO DE INVESTIMENTO IMOBIILÁRIO - FII;2019-02-28;113918763.72;
F.I.I.;13.920.018/0001-53;CICA JUNDIAI - FUNDO DE INVESTIMENTO IMOBILIARIO;2019-02-28;182481038.48;
F.I.I.;13.966.653/0001-71;FII CYRELA THERA CORPORATE;2019-02-28;150567316.34;
F.I.I.;13.974.819/0001-00;FUNDO DE INVESTIMENTO IMOBILIÁRIO OURINVEST LOGÍSTICA;2019-02-28;96743367.90;
F.I.I.;14.056.001/0001-62;PERSONALE I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;36008842.24;
F.I.I.;14.069.202/0001-02;AQ3 RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-02-28;172584262.49;
F.I.I.;14.074.706/0001-02;BRAZIL REALTY FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;373761049.73;
F.I.I.;14.074.721/0001-50;FIRENZE FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-02-28;56408707.36;
F.I.I.;14.080.689/0001-16;POLO FII - FII RECEBÍVEIS IMOBILIÁRIOS I;2019-02-28;73898751.72;
F.I.I.;14.088.246/0001-71;FUNDO DE INVESTIMENTO IMOBILIÁRIO RAILWAY MALL I - FII;2019-02-28;100112578.81;
F.I.I.;14.149.745/0001-21;ARENA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;922776656.21;
F.I.I.;14.217.108/0001-45;FUNDO DE INVESTIMENTO IMOBILIARIO INDUSTRIAL DO BRASIL;2019-02-28;266047251.76;
F.I.I.;14.365.190/0001-55;ESTRUTURA II - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;78610591.52;
F.I.I.;14.376.247/0001-11;FII BM BRASCAN LAJES CORPORATIVAS;2019-02-28;93097391.97;
F.I.I.;14.410.722/0001-29;BB PROGRESSIVO II FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;1639140516.30;
F.I.I.;14.413.342/0001-48;FUNDO DE INVESTIMENTO IMOBILIÁRIO RENDA CORPORATIVA ANGICO - FII;2019-02-28;349853786.67;
F.I.I.;14.422.044/0001-14;FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM SECURITIES III;2019-02-28;206983039.80;
F.I.I.;14.423.780/0001-97;KINEA II REAL ESTATE EQUITY FII;2019-02-28;129338520.80;
F.I.I.;14.465.810/0001-28;PACALU FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-02-28;251566525.65;
F.I.I.;14.609.653/0001-87;FUNDO DE INVESTIMENTO IMOBILIÁRIO JHSF CATARINA CORPORATE - FII;2019-02-28;85433427.26;
F.I.I.;14.631.148/0001-39;HAZ FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-02-28;70385523.73;
F.I.I.;14.665.312/0001-29;FUNDO DE INVESTIMENTO IMOBILIÁRIO POLO ESTOQUE - FII;2019-02-28;11309850.41;
F.I.I.;14.721.889/0001-00;FUNDO DE INVESTIMENTO IMOBILIÁRIO POLO SHOPPING INDAIATUBA;2019-02-28;147979155.33;
F.I.I.;14.733.211/0001-48;HEDGE SHOPPING PRAÇA DA MOÇA FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-02-28;68925887.55;
F.I.I.;14.786.587/0001-10;VOTORANTIM CARDIO PULMONAR FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;158616745.14;
F.I.I.;14.788.458/0001-61;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII AMETISTA;2019-02-28;12040443.92;
F.I.I.;14.788.492/0001-36;FUNDO DE INVESTIMENTO IMOBILIARIO - FII PATEO BANDEIRANTES;2019-02-28;172101769.71;
F.I.I.;14.793.782/0001-78;RENDA DE ESCRITÓRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;61364510.53;
F.I.I.;14.879.856/0001-93;FII SHOPPING JARDIM SUL;2019-02-28;209218295.10;
F.I.I.;15.006.267/0001-63;TRX EDIFICIOS CORPORATIVOS FUNDO DE INVESTIMENTO IMOBILIARIO - FII;2019-02-28;26498183.25;
F.I.I.;15.006.286/0001-90;FUNDO DE INVESTIMENTO IMOBILIÁRIO RIO NEGRO - FII;2019-02-28;250718988.58;
F.I.I.;15.098.422/0001-19;FUNDO DE INVESTIMENTO IMOBILIÁRIO PLUS;2019-02-28;115679139.56;
F.I.I.;15.254.249/0001-09;CAIXA FUNDO DE INVESTIMENTO IMOBILIARIO VLT - VEICULO LEVE SOBRE TRILHOS - FII;2019-02-28;78449738.71;
F.I.I.;15.296.696/0001-12;FUNDO DE INVESTIMENTO IMOBILIARIO - FII VILA OLIMPIA CORPORATE;2019-02-28;151684410.42;
F.I.I.;15.333.306/0001-37;FUNDO DE INVESTIMENTO IMOBILIARIO - FII EDIFICIO GALERIA;2019-02-28;326185571.12;
F.I.I.;15.394.563/0001-89;BB RENDA DE PAPÉIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;115744100.28;
F.I.I.;15.447.108/0001-02;INTERNACIONAL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-02-28;1284041628.48;
F.I.I.;15.447.110/0001-73;FUNDO DE INVESTIMENTO IMOBILIÁRIO SHOPPING CIDADE JARDIM;2019-02-28;513494232.28;
F.I.I.;15.461.076/0001-91;FUNDO DE INVESTIMENTO IMOBILIÁRIO BR HOTÉIS;2019-02-28;158435526.45;
F.I.I.;15.463.207/0001-70;INHAÚMA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;26238337.70;
F.I.I.;15.538.445/0001-05;SP DOWNTOWN FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;135687568.53;
F.I.I.;15.570.431/0001-60;BANRISUL NOVAS FRONTEIRAS FUNDO DE INVESTIMENTO IMOBILIARIO - FII;2019-02-28;64123716.51;
F.I.I.;15.576.907/0001-70;FUNDO DE INVESTIMENTO IMOBILIÁRIO RIO BRAVO RENDA VAREJO - FII;2019-02-28;433242336.54;
F.I.I.;15.769.670/0001-44;RIO BRAVO CRÉDITO IMOBILIÁRIO II FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;28125578.06;
F.I.I.;15.799.397/0001-09;FUNDO DE INVESTIMENTO IMOBILIARIO - FII CEO CYRELA COMMERCIAL PROPERTIES;2019-02-28;160542069.24;
F.I.I.;15.862.591/0001-83;CIDADE NOVA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;29434511.56;
F.I.I.;16.543.270/0001-89;SÃO DOMINGOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;247264968.14;
F.I.I.;16.671.412/0001-93;FUNDO DE INVESTIMENTO IMOBILIARIO SDI RIO BRAVO RENDA LOGÍSTICA - FII;2019-02-28;317622612.54;
F.I.I.;16.706.958/0001-32;KINEA RENDIMENTOS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO - FII;2019-02-28;3651560133.84;
F.I.I.;16.802.320/0001-03;XP CORPORATE MACAÉ FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;200164645.33;
F.I.I.;16.802.360/0001-47;FUNDO DE INVESTIMENTO IMOBILIÁRIO SOFI;2019-02-28;55231791.80;
F.I.I.;16.841.067/0001-99;SOCOPA FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-02-28;34405574.62;
F.I.I.;16.875.388/0001-04;HEDGE TOP FOFII 2 FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-02-28;113546363.75;
F.I.I.;16.915.840/0001-14;SANTANDER AGÊNCIAS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;508013881.60;
F.I.I.;16.915.868/0001-51;JHSF RIO BRAVO FAZENDA BOA VISTA CAPITAL PROTEGIDO FUNDO DE INVESTIMENTO IMOBILIARIO - FII;2019-02-28;125830401.38;
F.I.I.;16.915.968/0001-88;MERITO DESENVOLVIMENTO IMOBILIARIO I FII - FUNDO DE INVESTIMENTO IMOBILIARIO;2019-02-28;199560336.19;
F.I.I.;16.924.913/0001-34;VISTA REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-02-28;71429337.12;
F.I.I.;16.929.519/0001-99;HEDGE REALTY DEVELOPMENT FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-02-28;96877284.55;
F.I.I.;17.007.443/0001-07;TRANSINC FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;100866750.72;
F.I.I.;17.007.528/0001-95;FUNDO DE INVESTIMENTO IMOBILIARIO GENERAL SEVERIANO;2019-02-28;46136401.58;
F.I.I.;17.025.970/0001-44;FUNDO DE INVESTIMENTO IMOBILIARIO - FII NOVO HORIZONTE;2019-02-28;299307558.72;
F.I.I.;17.035.124/0001-05;FUNDO DE INVESTIMENTO IMOBILIÁRIO HUMAITÁ - FII;2019-02-28;19923253.05;
F.I.I.;17.098.794/0001-70;CAIXA RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII;2019-02-28;169265369.66;
F.I.I.;17.143.998/0001-86;CSHG GR LOUVEIRA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;121134840.95;
F.I.I.;17.144.039/0001-85;CASTELLO BRANCO OFFICE PARK FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;111399066.34;
F.I.I.;17.156.502/0001-09;POLO FUNDO DE INVESTIMENTO IMOBILIARIO - RECEBIVEIS IMOBILIARIOS II - FII;2019-02-28;103583807.07;
F.I.I.;17.161.979/0001-82;FUNDO DE INVESTIMENTO IMOBILIÁRIO PEDRA NEGRA RENDA IMOBILIÁRIA;2019-02-28;127954684.40;
F.I.I.;17.198.404/0001-34;JIVE ATIVOS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-02-28;6418018.00;
F.I.I.;17.198.500/0001-82;SB FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-02-28;147307788.54;
F.I.I.;17.209.378/0001-00;LATERES FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;85909979.30;
F.I.I.;17.211.882/0001-37;FUNDO DE INVESTIMENTO IMOBILIARIO JHSF CATARINA CORPORATE BERLIM;2019-02-28;21292093.62;
F.I.I.;17.216.625/0001-98;JPP CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;35459306.04;
F.I.I.;17.282.011/0001-04;FUNDO DE INVESTIMENTO IMOBILIARIO - FII GOLDEN;2019-02-28;209069389.74;
F.I.I.;17.308.805/0001-08;FUNDO DE INVESTIMENTO IMOBILIARIO SHOPPING LIGHT;2019-02-28;269060079.53;
F.I.I.;17.311.079/0001-74;FUNDO DE INVESTIMENTO IMOBILIARIO - FII SIA CORPORATE;2019-02-28;89586762.01;
F.I.I.;17.324.357/0001-28;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII BRASIL PLURAL ABSOLUTO FUNDO DE FUNDOS;2019-02-28;252060422.14;
F.I.I.;17.329.029/0001-14;FATOR IFIX FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-02-28;33596509.10;
F.I.I.;17.331.883/0001-15;SALUS II FUNDO DE INVESTIMENTO IMOBILIARIO - FII;2019-02-28;55309246.96;
F.I.I.;17.365.105/0001-47;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII TB OFFICE;2019-02-28;877965048.36;
F.I.I.;17.374.696/0001-19;REAG RENDA IMOBILIÁRIA - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;243696404.83;
F.I.I.;17.554.274/0001-25;VINCI SHOPPING CENTERS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;821814321.89;
F.I.I.;17.568.605/0001-86;MAIS SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-02-28;384647460.00;
F.I.I.;17.655.102/0001-48;PESCARA FUNDO DE INVESTIMENTO IMOBILIARIO - FII;2019-02-28;53373835.60;
F.I.I.;17.655.115/0001-17;SAFIRA - FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-02-28;181085063.74;
F.I.I.;17.655.122/0001-19;VANQUISH FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;23690036.97;
F.I.I.;17.786.606/0001-05;NF CAPITAL II FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-02-28;121082920.10;
F.I.I.;17.854.016/0001-64;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIDA NOVA - FII;2019-02-28;81679457.00;
F.I.I.;17.870.926/0001-30;Votorantim Securities Master Fundo de Investimento Imobiliário - FII;2019-02-28;80737308.31;
F.I.I.;18.085.673/0001-57;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII NCH BRASIL RECEBÍVEIS IMOBILIÁRIOS;2019-02-28;12261059.28;
F.I.I.;18.259.637/0001-62;ETR PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;8174629.99;
F.I.I.;18.265.829/0001-81;YAGO - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-02-28;-507611.95;
F.I.I.;18.289.950/0001-43;BIRD FUNDO DE INVESTIMENTO IMOBILIARIO - FII;2019-02-28;83889364.33;
