COMPANY_ID;QUOTA;ISIN;NAME;DATE_INI;EXCLUSIVE;CLASS;REFERENCE;TARGET;OWNERS;ASSETS;EQUITY;DY_LAST;PRICE_QUOTA_EQUITY
15.394.563/0001-89;107481;BRRNDPCTF007;BB RENDA DE PAPÉIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;07/05/2012;False;Mandato: Títulos e Valores MobiliáriosSegmento de Atuação: Títulos e Val. Mob.Tipo de Gestão: Ativa;04/2019;Investidores em Geral;1045;117062180;116103872;0,4812%;1080.23
23.120.027/0001-13;1078042;BRRDPDCTF008;BB RENDA DE PAPÉIS IMOBILIÁRIOS II FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;27/04/2018;False;Mandato: Títulos e Valores MobiliáriosSegmento de Atuação: Títulos e Val. Mob.Tipo de Gestão: Ativa;04/2019;Investidores em Geral;870;104887235;104806279;0,4322%;97.22
31.145.875/0001-05;242700000;;BFC FUNDO DE INVESTIMENTO IMOBILIÁRIO;15/06/2018;False;Mandato: HíbridoSegmento de Atuação: HíbridoTipo de Gestão: Ativa;04/2019;Investidor Profissional;1;602802778;186671967;0,0000%;0.77
18.289.950/0001-43;54802678;BRBRDFCTF003;BIRD FUNDO DE INVESTIMENTO IMOBILIARIO - FII;27/05/2013;False;Mandato: RendaSegmento de Atuação: OutrosTipo de Gestão: Passiva;04/2019;Investidor Profissional;1;84359059;84218160;;1.54
21.067.825/0001-01;160952000;;BPG LOGÍSTICA I FUNDO DE INVESTIMENTO IMOBILIÁRIO;16/08/2018;True;Mandato: HíbridoSegmento de Atuação: LogísticaTipo de Gestão: Ativa;04/2019;Investidor Qualificado;1;479015396;199048558;0,0000%;1.24
21.044.600/0001-21;290062066;BRBPG1CTF006;BPGB-001 FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;16/11/2015;False;Mandato: Desenvolvimento para RendaSegmento de Atuação: HíbridoTipo de Gestão: Ativa;04/2019;Investidores em Geral;1;409862865;409834752;0,0000%;1.41
20.216.935/0001-17;1689613;BRBCIACTF005;BRADESCO CARTEIRA IMOBILIÁRIA ATIVA;19/05/2015;False;Mandato: Títulos e Valores MobiliáriosSegmento de Atuação: Títulos e Val. Mob.Tipo de Gestão: Ativa;04/2019;Investidores em Geral;1489;207597375;206146070;0,6528%;122.01
22.081.808/0001-83;1635;0;BRAZIL PROPERTIES INVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;15/08/2017;True;Mandato: Segmento de Atuação: Tipo de Gestão:;04/2019;Investidor Profissional;1;53019616;52985871;0,0000%;32407.26
26.195.121/0001-20;246053;;BRAZIL REAL ESTATE VICTORY FUND I - FUNDO DE INVESTIMENTO IMOBILIARIO;12/09/2016;False;Mandato: RendaSegmento de Atuação: HíbridoTipo de Gestão: Ativa;04/2019;Investidor Qualificado;19;26534443;26397667;0,0000%;107.28
14.074.706/0001-02;33118834;BRBZLICTF003;BRAZIL REALTY FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;06/12/2016;False;Mandato: Títulos e Valores MobiliáriosSegmento de Atuação: Títulos e Val. Mob.Tipo de Gestão: Ativa;04/2019;Investidor Qualificado e Profissional;28;422721605;404278390;0,0000%;12.21
14.074.706/0001-02;33118834;BRBZLICTF003;BRAZIL REALTY FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;06/12/2016;False;Mandato: Títulos e Valores MobiliáriosSegmento de Atuação: Títulos e Val. Mob.Tipo de Gestão: Ativa;04/2019;Investidor Qualificado e Profissional;28;422721605;404278390;0,0000%;12.21
13.584.584/0001-31;158151503;BRCARECTF000;BRAZILIAN GRAVEYARD AND DEATH CARE SERVICES FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;07/12/2011;False;Mandato: Títulos e Valores MobiliáriosSegmento de Atuação: HíbridoTipo de Gestão: Ativa;04/2019;Investidores em Geral;1554;224008234;223686647;;1.41
20.748.515/0001-81;1237531;;BRESCO - FUNDO DE INVESTIMENTO IMOBILIÁRIO;13/07/2016;False;Mandato: HíbridoSegmento de Atuação: Lajes CorporativasTipo de Gestão: Ativa;04/2019;Investidor Profissional;10;1606780089;1502189735;0,0000%;1213.86
23.964.843/0001-03;39831;;BRIO REAL ESTATE II - FUNDO DE INVESTIMENTO IMOBILIÁRIO;06/07/2018;False;Mandato: Desenvolvimento para VendaSegmento de Atuação: ResidencialTipo de Gestão: Ativa;04/2019;Investidores em Geral;83;47505850;33514517;;841.42
18.929.353/0001-36;41997;;BRL EDIFÍCIOS COMERCIAIS FII;19/12/2014;False;Mandato: RendaSegmento de Atuação: OutrosTipo de Gestão: Ativa;04/2019;Investidor Qualificado;2;66534794;20315919;;483.75
19.026.454/0001-60;101944;;BRL LAJES CORPORATIVAS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;30/12/2014;False;Mandato: RendaSegmento de Atuação: OutrosTipo de Gestão: Ativa;04/2019;Investidor Qualificado;1;113292306;113268367;;1111.08
26.545.627/0001-11;752;;BRL VI FUNDO DE INVESTIMENTO IMOBILIARIO;22/03/2017;False;Mandato: RendaSegmento de Atuação: OutrosTipo de Gestão: Ativa;04/2019;Investidor Qualificado;1;358533498;3392582;;4511.41
22.104.821/0001-00;6492561;0;BTERRA FUNDO DE INVESTIMENTO IMOBILIÁRIO;23/02/2016;False;Mandato: Segmento de Atuação: Tipo de Gestão:;04/2019;Investidor Profissional;1;26633829;7321020;0,0000%;1.13
12.989.974/0001-29;4735662339;BRPMRVCTF001;CAIXA FUNDO DE INVESTIMENTO IMOBILIARIO PORTO MARAVILHA;27/05/2011;False;Mandato: HíbridoSegmento de Atuação: HíbridoTipo de Gestão: Ativa;04/2019;Investidor Qualificado;1;7097042615;2575787301;0,0000%;0.54
15.254.249/0001-09;106225000;BRVLTVCTF007;CAIXA FUNDO DE INVESTIMENTO IMOBILIARIO VLT - VEICULO LEVE SOBRE TRILHOS - FII;13/06/2013;False;Mandato: HíbridoSegmento de Atuação: HíbridoTipo de Gestão: Ativa;04/2019;Investidor Qualificado;2;80610001;78386498;;0.74
17.098.794/0001-70;157576;BRCXRICTF003;CAIXA RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII;12/11/2013;False;Mandato: Títulos e Valores MobiliáriosSegmento de Atuação: Títulos e Val. Mob.Tipo de Gestão: Ativa;04/2019;Investidores em Geral;1182;179271301;171021320;0,6428%;1085.33
18.979.895/0001-13;1577825;BRCPTSCTF004;CAPITÂNIA SECURITIES II FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;05/08/2014;True;Mandato: Títulos e Valores MobiliáriosSegmento de Atuação: Títulos e Val. Mob.Tipo de Gestão: Ativa;04/2019;Investidor Qualificado e Profissional;3806;154276354;153064129;0,6700%;97.01
20.118.470/0001-61;4901;0;CASPER FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;30/06/2017;False;Mandato: Segmento de Atuação: Tipo de Gestão:;04/2019;Investidores em Geral;1;61765859;61725079;0,0000%;12594.38
20.118.470/0001-61;4901;0;CASPER FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;30/06/2017;False;Mandato: Segmento de Atuação: Tipo de Gestão:;04/2019;Investidores em Geral;1;61765859;61725079;0,0000%;12594.38
17.144.039/0001-85;1415000;BRCBOPCTF001;CASTELLO BRANCO OFFICE PARK FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;17/12/2012;False;Mandato: RendaSegmento de Atuação: Lajes CorporativasTipo de Gestão: Passiva;04/2019;Investidores em Geral;2958;112250001;111489784;0,5967%;78.79
26.502.761/0001-35;35370;0;CATUAÍ FUNDO DE INVESTIMENTO IMOBILIÁRIO;22/09/2017;False;Mandato: HíbridoSegmento de Atuação: OutrosTipo de Gestão: Ativa;04/2019;Investidor Profissional;1;34342887;33781015;0,0000%;955.08
26.502.761/0001-35;35370;0;CATUAÍ FUNDO DE INVESTIMENTO IMOBILIÁRIO;22/09/2017;False;Mandato: HíbridoSegmento de Atuação: OutrosTipo de Gestão: Ativa;04/2019;Investidor Profissional;1;34342887;33781015;0,0000%;955.08
20.118.507/0001-51;28288;0;CEDRO - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;08/01/2015;True;Mandato: Segmento de Atuação: Tipo de Gestão:;05/2019;Investidor Profissional;2;93331335;39639906;0,0000%;1401.3
18.950.957/0001-64;124408;BRCHLLCTF003;CHALLENGER FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;14/07/2014;True;Mandato: RendaSegmento de Atuação: HíbridoTipo de Gestão: Ativa;04/2019;Investidor Qualificado;1;1344107338;401195657;0,0000%;3224.84
13.464.208/0001-03;46135;;CIBRASEC CRÉDITO IMOBILIÁRIO - FII;06/12/2011;False;Mandato: Títulos e Valores MobiliáriosSegmento de Atuação: Títulos e Val. Mob.Tipo de Gestão: Ativa;04/2019;Investidor Qualificado;73;6703355;5473426;1,5153%;118.64
13.920.018/0001-53;40501;0;CICA JUNDIAI - FUNDO DE INVESTIMENTO IMOBILIARIO;24/05/2013;True;Mandato: Segmento de Atuação: Tipo de Gestão:;04/2019;Investidor Qualificado;24;218561239;182472520;0,0000%;4505.38
18.874.965/0001-79;166750;;CIDADE - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;18/12/2014;False;Mandato: RendaSegmento de Atuação: ShoppingsTipo de Gestão: Ativa;04/2019;Investidor Qualificado;54;182541616;182503286;0,6274%;1094.47
15.862.591/0001-83;7500;0;CIDADE NOVA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;25/10/2012;False;Mandato: Segmento de Atuação: Tipo de Gestão:;04/2019;Investidores em Geral;1;530727127;135854600;0,0000%;18113.95
97.521.194/0001-02;11766;BRCLOGCTF009;CLARITAS LOGÍSTICA I - FUNDO DE INVESTIMENTO IMOBILIÁRIO;06/07/2011;False;Mandato: Segmento de Atuação: Tipo de Gestão:;04/2019;Investidor Qualificado;41;156724951;156160736;0,2880%;13272.2
31.772.231/0001-47;5137000;0;COLONIZADOR I FUNDO DE INVESTIMENTO IMOBILIARIO - FII;13/11/2018;False;Mandato: RendaSegmento de Atuação: HíbridoTipo de Gestão: Ativa;04/2019;Investidores em Geral;30;51328998;51156710;;9.96
17.143.998/0001-86;1073530;BRGRLVCTF002;CSHG GR LOUVEIRA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;22/01/2013;False;Mandato: Desenvolvimento para RendaSegmento de Atuação: LogísticaTipo de Gestão: Passiva;04/2019;Investidores em Geral;1845;118148145;117301722;0,5649%;109.27
11.260.134/0001-68;1650000;BRHGJHCTF006;CSHG JHSF PRIME OFFICES - FUNDO DE INVESTIMENTO IMOBILIÁRIO FII;14/10/2010;False;Mandato: RendaSegmento de Atuação: Lajes CorporativasTipo de Gestão: Passiva;04/2019;Investidores em Geral;5917;249113401;247451875;0,5341%;149.97
11.728.688/0001-47;7881340;BRHGLGCTF004;CSHG LOGÍSTICA - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;06/05/2010;False;Mandato: RendaSegmento de Atuação: LogísticaTipo de Gestão: Ativa;04/2019;Investidores em Geral;63553;1011668045;952002405;0,6195%;120.79
09.072.017/0001-29;7383100;BRHGRECTF006;CSHG REAL ESTATE - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;06/05/2008;False;Mandato: RendaSegmento de Atuação: Lajes CorporativasTipo de Gestão: Ativa;04/2019;Investidores em Geral;34395;1158513309;1121086730;0,4874%;151.84
11.160.521/0001-22;4338476;BRHGCRCTF000;CSHG RECEBÍVEIS IMOBILIÁRIOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;22/12/2009;False;Mandato: Títulos e Valores MobiliáriosSegmento de Atuação: Títulos e Val. Mob.Tipo de Gestão: Ativa;04/2019;Investidores em Geral;10352;455571740;451939919;0,7083%;104.17
29.641.226/0001-53;1500000;BRHGRUCTF002;CSHG RENDA URBANA - FUNDO DE INVESTIMENTO IMOBILIARIO - FII;27/04/2018;False;Mandato: RendaSegmento de Atuação: HíbridoTipo de Gestão: Ativa;04/2019;Investidores em Geral;1896;155756465;153874313;0,6618%;102.58
19.442.626/0001-86;187470;;CTBH FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;26/02/2014;False;Mandato: RendaSegmento de Atuação: ShoppingsTipo de Gestão: Passiva;04/2019;Investidor Qualificado;1;64289248;64284464;0,0000%;342.91
10.841.506/0001-87;1;;DAJ FUNDO DE INVESTIMENTO IMOBILIÁRIO;18/06/2009;False;Mandato: RendaSegmento de Atuação: OutrosTipo de Gestão: Ativa;04/2019;Investidor Qualificado;0;0;0;;0.0
28.108.193/0001-18;8260960;0;DEL MONTE AJAX FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;15/12/2017;False;Mandato: RendaSegmento de Atuação: HíbridoTipo de Gestão: Ativa;04/2019;Investidores em Geral;8;8528004;8496996;;1.03
26.642.727/0001-66;80536220;BRDAMTCTF007;DIAMANTE FUNDO DE INVESTIMENTO IMOBILIARIO;13/02/2017;False;Mandato: RendaSegmento de Atuação: HíbridoTipo de Gestão: Ativa;04/2019;Investidor Qualificado;51;110910315;110864267;0,0000%;1.38
10.522.648/0001-81;59466;BRDOVLCTF006;DOVEL FII;01/04/2009;True;Mandato: RendaSegmento de Atuação: Lajes CorporativasTipo de Gestão: Passiva;04/2019;Investidor Qualificado e Profissional;52;60336710;60125242;0,2530%;1011.09
21.085.863/0001-89;179600000;;EBT FUNDO DE INVESTIMENTO IMOBILIÁRIO;04/08/2014;False;Mandato: HíbridoSegmento de Atuação: HíbridoTipo de Gestão: Ativa;04/2019;Investidor Profissional;1;509160628;181974270;0,0000%;1.01
14.365.190/0001-55;52148;BRSRIICTF000;ESTRUTURA II - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;02/10/2012;False;Mandato: RendaSegmento de Atuação: OutrosTipo de Gestão: Ativa;04/2019;Investidor Qualificado;1;80134799;80097553;0,0000%;1535.97
18.259.637/0001-62;72;;ETR PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;05/09/2013;False;Mandato: RendaSegmento de Atuação: Lajes CorporativasTipo de Gestão: Ativa;04/2019;Investidor Qualificado;2;8275436;8251990;;114610.97
31.469.385/0001-64;63141;-;EUROPA 105 - FUNDO DE INVESTIMENTO IMOBILIÁRIO;15/03/2019;False;Mandato: RendaSegmento de Atuação: Lajes CorporativasTipo de Gestão: Passiva;04/2019;Investidor Qualificado;2;47336562;6258925;0,0000%;99.13
24.070.076/0001-51;7147934;BRKINPCTF001;EVEN PERMUTA KINEA FII - FUNDO DE INVESTIMENTO IMOBILIÁRIO;09/06/2017;False;Mandato: Desenvolvimento para VendaSegmento de Atuação: ResidencialTipo de Gestão: Ativa;04/2019;Investidor Qualificado;91;73249297;72548595;0,0000%;10.15
12.358.507/0001-09;400235;;ÊXITUS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;08/12/2010;False;Mandato: HíbridoSegmento de Atuação: HíbridoTipo de Gestão: Ativa;04/2019;Investidor Profissional;54;677778523;677706807;0,0000%;1693.27
18.312.285/0001-61;209671135;;EZTB Fundo de Investimento Imobiliário - FII;18/09/2017;False;Mandato: HíbridoSegmento de Atuação: HíbridoTipo de Gestão: Ativa;04/2019;Investidor Profissional;1;806937495;285011546;0,0000%;1.36
17.329.029/0001-14;365972;BRFIXXCTF004;FATOR IFIX FUNDO DE INVESTIMENTO IMOBILIÁRIO;06/05/2013;False;Mandato: Títulos e Valores MobiliáriosSegmento de Atuação: Títulos e Val. Mob.Tipo de Gestão: Ativa;04/2019;Investidores em Geral;1144;34446638;34251202;0,4400%;93.59
11.664.201/0001-00;2241799;BRVRTACTF008;FATOR VERITA FUNDO DE INVESTIMENTO IMOBILIARIO;05/08/2010;False;Mandato: Títulos e Valores MobiliáriosSegmento de Atuação: Títulos e Val. Mob.Tipo de Gestão: Ativa;04/2019;Investidores em Geral;13724;241532535;225444758;1,0669%;100.56
22.016.625/0001-84;8170;;FDL FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;15/08/2012;False;Mandato: RendaSegmento de Atuação: OutrosTipo de Gestão: Ativa;04/2019;Investidor Profissional;1;64417797;57666820;0,0000%;7058.36
22.016.625/0001-84;8170;;FDL FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;15/08/2012;False;Mandato: RendaSegmento de Atuação: OutrosTipo de Gestão: Ativa;04/2019;Investidor Profissional;1;64417797;57666820;0,0000%;7058.36
20.990.694/0001-69;184225;0;FGRP FUNDO DE INVESTIMENTO IMOBILIÁRIO;01/03/2018;False;Mandato: HíbridoSegmento de Atuação: HíbridoTipo de Gestão: Ativa;04/2019;Investidor Qualificado;8;183000675;179592793;;974.86
24.814.916/0001-43;109790;BRNPARCTF003;FII - FUNDO DE INVESTIMENTO IMOBILIÁRIO NESTPAR;23/05/2016;False;Mandato: HíbridoSegmento de Atuação: OutrosTipo de Gestão: Ativa;04/2019;Investidores em Geral;71;13964399;13713017;;124.9
11.281.322/0001-72;195000;BRPRSVCTF008;FII - PRESIDENTE VARGAS;03/01/2011;False;Mandato: RendaSegmento de Atuação: Lajes CorporativasTipo de Gestão: Passiva;04/2019;Investidores em Geral;1606;79572813;79352343;0,5038%;406.94
07.789.135/0001-27;451113;BRANCRCTF001;FII ANCAR IC;21/12/2005;False;Mandato: Desenvolvimento para RendaSegmento de Atuação: ShoppingsTipo de Gestão: Ativa;04/2019;Investidores em Geral;56;1521093758;1418419238;0,2906%;3144.27
11.179.118/0001-45;642168;BRFAEDCTF003;FII ANHANGUERA EDUCACIONAL;21/12/2009;False;Mandato: RendaSegmento de Atuação: OutrosTipo de Gestão: Passiva;04/2019;Investidores em Geral;3024;122719488;121465639;0,8043%;189.15
10.347.985/0001-80;2710000;BRBBVJCTF001;FII BB VOTORANTIM CIDADE JARDIM CONTINENTAL TOWER;22/12/2010;False;Mandato: Desenvolvimento para RendaSegmento de Atuação: Lajes CorporativasTipo de Gestão: Passiva;04/2019;Investidor Qualificado;2113;158756979;158246873;0,0000%;58.39
14.376.247/0001-11;998405;BRBMLCCTF004;FII BM BRASCAN LAJES CORPORATIVAS;10/01/2012;False;Mandato: RendaSegmento de Atuação: Lajes CorporativasTipo de Gestão: Ativa;04/2019;Investidores em Geral;1145;94705772;93099750;0,4859%;93.25
11.602.654/0001-01;167000;BRFCFLCTF009;FII CAMPUS FARIA LIMA;29/06/2010;False;Mandato: RendaSegmento de Atuação: OutrosTipo de Gestão: Passiva;04/2019;Investidores em Geral;2738;303129699;300485600;0,6419%;1799.31
13.551.286/0001-45;2949248;BRCNESCTF001;FII CENESP;27/07/2011;False;Mandato: RendaSegmento de Atuação: Lajes CorporativasTipo de Gestão: Ativa;04/2019;Investidores em Geral;2958;281402766;277444693;-0,3620%;94.07
08.098.114/0001-28;3568083;BRPRGDCTF001;ICON REALTY I FUNDO DE INVESTIMENTO IMOBILIÁRIO;26/06/2006;False;Mandato: RendaSegmento de Atuação: HíbridoTipo de Gestão: Ativa;04/2019;Investidores em Geral;1;608779205;345173102;0,4223%;96.74
04.141.645/0001-03;69033500;BRFLMACTF009;FII CONTINENTAL SQUARE FARIA LIMA;29/08/2000;False;Mandato: RendaSegmento de Atuação: HíbridoTipo de Gestão: Ativa;04/2019;Investidores em Geral;18641;201432551;199783857;0,4898%;2.89
13.966.653/0001-71;1472728;BRTHRACTF007;FII CYRELA THERA CORPORATE;22/12/2011;False;Mandato: RendaSegmento de Atuação: Lajes CorporativasTipo de Gestão: Passiva;04/2019;Investidores em Geral;2349;151790018;150342062;0,5728%;102.08
05.562.312/0001-02;104800;BRFAMBCTF018;FII EDIFICIO ALMIRANTE BARROSO;17/03/2003;False;Mandato: RendaSegmento de Atuação: Lajes CorporativasTipo de Gestão: Passiva;04/2019;Investidores em Geral;3125;344497566;336115390;0,9078%;3207.21
06.175.262/0001-73;236000;BREDFOCTF004;FII EDIFÍCIO OURINVEST;19/04/2004;False;Mandato: RendaSegmento de Atuação: Lajes CorporativasTipo de Gestão: Passiva;04/2019;Investidores em Geral;542;44237636;43754009;0,9647%;185.4
13.022.994/0001-99;787256;BRELDOCTF002;FII ELDORADO;18/11/2010;False;Mandato: RendaSegmento de Atuação: ShoppingsTipo de Gestão: Passiva;04/2019;Investidores em Geral;61;826032361;822068024;0,6561%;1044.22
05.437.916/0001-27;383936;BREUROCTF011;FII EUROPAR;10/12/2002;False;Mandato: HíbridoSegmento de Atuação: LogísticaTipo de Gestão: Passiva;04/2019;Investidores em Geral;1320;123077185;122729430;0,1877%;319.66
10.375.382/0001-91;55691;BRFLRPCTF006;FII FLORIPA SHOPPING;21/09/2009;False;Mandato: RendaSegmento de Atuação: ShoppingsTipo de Gestão: Passiva;04/2019;Investidores em Geral;849;74653081;74266490;0,3715%;1333.55
01.964.775/0001-40;12583000;BRGEOGCTF005;FII GEO GUARARAPES;03/11/2005;True;Mandato: Segmento de Atuação: Tipo de Gestão:;04/2019;Investidor Qualificado e Profissional;6;1640911;1193015;0,0000%;0.09
04.066.582/0001-60;200000;BRHCRICTF006;FII HOSPITAL DA CRIANÇA;03/10/2000;False;Mandato: RendaSegmento de Atuação: HospitalTipo de Gestão: Passiva;04/2019;Investidores em Geral;2179;53360877;52639544;0,9124%;263.2
08.014.513/0001-63;1144800;BRNSLUCTF008;FII HOSPITAL NOSSA SENHORA DE LOURDES;20/04/2006;False;Mandato: RendaSegmento de Atuação: HospitalTipo de Gestão: Passiva;04/2019;Investidores em Geral;4146;210927226;207151784;0,8887%;180.95
08.706.065/0001-69;1118960;BRHTMXCTF000;FII HOTEL MAXINVEST;13/02/2007;False;Mandato: RendaSegmento de Atuação: HotelTipo de Gestão: Ativa;04/2019;Investidores em Geral;18760;156454614;154873004;0,2913%;138.41
11.274.415/0001-70;59245;BRMAXRCTF009;FII MAX RETAIL;30/04/2010;False;Mandato: RendaSegmento de Atuação: OutrosTipo de Gestão: Ativa;04/2019;Investidores em Geral;1493;109138791;105244364;0,8561%;1776.43
01.633.741/0001-72;508008;BRFMOFCTF010;FII MEMORIAL OFFICE;18/03/1997;False;Mandato: RendaSegmento de Atuação: Lajes CorporativasTipo de Gestão: Passiva;04/2019;Investidores em Geral;341;68135921;67884175;0,0000%;133.63
01.497.954/0001-14;8703994;BRMISTCTF016;FII MISTRAL;22/10/1996;False;Mandato: RendaSegmento de Atuação: Lajes CorporativasTipo de Gestão: Ativa;04/2019;Investidores em Geral;6;145814976;145060114;0,0000%;16.67
